kanji,hiragana,english,level
要旨,ようし,"gist,essentials,summary,fundamentals",N2
要領,ようりょう,"point,gist,essentials,outline",N2
見下ろす,みおろす,"to overlook,to command a view of,to look down on something",N2
見付かる,みつかる,"to be found,to be discovered",N2
見付ける,みつける,"to be familiar,to discover,to detect",N2
見出し,みだし,"heading,caption,subtitle,index",N2
見学,けんがく,"inspection,study by observation,field trip",N2
見慣れる,みなれる,"to become used to seeing,to be familiar with",N2
見掛け,みかけ,outward appearance,N2
見本,みほん,sample,N2
見直す,みなおす,"to look again,to get a better opinion of",N2
見舞う,みまう,"to ask after (health),to visit",N2
見送る,みおくる,"(N1) to see off,to farewell,(N2) to escort,(N3) to let pass",N2
規律,きりつ,"order,rules,law",N2
規準,きじゅん,"standard,basis,criteria,norm",N2
覗く,のぞく,"to peep in,to look in,to peek in,to stick out",N2
親指,おやゆび,thumb,N2
親類,しんるい,"relation,kin",N2
観念,かんねん,"(N1) idea,notion,conception,(N2) sense (e.g. of duty)",N2
観測,かんそく,observation,N2
角度,かくど,angle,N2
解放,かいほう,"release,liberation,emancipation",N2
解散,かいさん,"breakup,dissolution",N2
解答,かいとう,"answer,solution",N2
解説,かいせつ,"explanation,commentary",N2
言い付ける,いいつける,"to tell,to tell on (someone),to order",N2
言い出す,いいだす,"to start talking,to speak,to tell,to propose,to suggest,to break the ice",N2
言付ける,ことづける,"to send word,to send a message",N2
言葉遣い,ことばづかい,"speech,expression,wording",N2
討つ,うつ,"to attack,to avenge",N2
記号,きごう,"symbol,code",N2
訳す,やくす,to translate,N2
診る,みる,to examine (medical),N2
診断,しんだん,diagnosis,N2
評論,ひょうろん,"criticism,critique",N2
詫びる,わびる,to apologize,N2
詰まる,つまる,"to be blocked,to be packed",N2
話し掛ける,はなしかける,"to accost a person,to talk (to someone)",N2
話中,はなしちゅう,"while talking,the line is busy",N2
話合い,はなしあい,"discussion,conference",N2
誓う,ちかう,"to swear,to vow,to take an oath,to pledge",N2
課程,かてい,"course,curriculum",N2
課税,かぜい,taxation,N2
調味料,ちょうみりょう,"condiment,seasoning",N2
調整,ちょうせい,"regulation,adjustment,tuning",N2
調節,ちょうせつ,"regulation,adjustment,control",N2
請う,こう,"to ask,to request",N2
論ずる,ろんずる,"to argue,to discuss,to debate",N2
謎謎,なぞなぞ,"riddle,puzzle,enigma",N2
謙虚,けんきょ,"modesty,humility",N2
謙遜,けんそん,"humble,humility,modesty",N2
講師,こうし,lecturer,N2
警備,けいび,"defense,guard,policing,security",N2
貝,かい,"shell,shellfish",N2
貨物,かもつ,"cargo,freight",N2
貯蔵,ちょぞう,"storage,preservation",N2
貸し出し,かしだし,"lending,loaning",N2
貸家,かしや,house for rent,N2
貸間,かしま,room to let,N2
資料,しりょう,"materials,data",N2
賞品,しょうひん,"prize,trophy",N2
賞金,しょうきん,"prize,monetary award",N2
赤道,せきどう,equator,N2
起床,きしょう,"rising,getting out of bed",N2
超える,こえる,"to exceed,to cross over,to cross",N2
超す,こす,"to cross,to pass,to tide over",N2
超過,ちょうか,"excess,being more than",N2
足る,たる,"to be sufficient,to be enough",N2
足袋,たび,"tabi,Japanese socks (with split toe)",N2
足跡,あしあと,footprints,N2
跳ねる,はねる,"to jump,to leap",N2
跳ぶ,とぶ,"to jump,to fly,to leap",N2
踏切,ふみきり,"railway crossing,level crossing,starting line,scratch,crossover",N2
蹴る,ける,to kick,N2
身分,みぶん,"social position,social status",N2
車庫,しゃこ,"garage,car shed",N2
車掌,しゃしょう,(train) conductor,N2
車輪,しゃりん,(car) wheel,N2
軟らかい,やわらかい,"soft,tender,limp",N2
転がす,ころがす,to roll,N2
転がる,ころがる,"to roll,to tumble",N2
載せる,のせる,"to place on (something),to take on board,to give a ride",N2
載る,のる,"to appear (in print),to be recorded",N2
輸血,ゆけつ,blood transfusion,N2
輸送,ゆそう,"transport,transportation",N2
農村,のうそん,"agricultural community,farm village,rural",N2
農産物,のうさんぶつ,agricultural produce,N2
農薬,のうやく,agricultural chemicals,N2
近々,ちかぢか,"nearness,before long",N2
近付ける,ちかづける,"to bring near,to put close,to let come near,to associate with",N2
近寄る,ちかよる,"to approach,to draw near",N2
迫る,せまる,"to draw near,to press",N2
述語,じゅつご,predicate,N2
迷信,めいしん,superstition,N2
追い掛ける,おいかける,"to chase or run after someone,to run down,to pursue",N2
追い越す,おいこす,"to pass (e.g. car),to outdistance,to outstrip",N2
追加,ついか,"addition,supplement,appendix",N2
退く,どく,"(N1) to retreat,to recede,to withdraw",N2
退ける,どける,"to remove,to take away,to dislodge,to put something out of the way",N2
退院,たいいん,leaving hospital,N2
送り仮名,おくりがな,part of word written in kana,N2
送別,そうべつ,"farewell,send-off",N2
送料,そうりょう,"postage,carriage",N2
逃がす,にがす,"to let loose,to set free,to let escape",N2
逆さ,さかさ,"reverse,inversion,upside down",N2
逆様,さかさま,"inversion,upside down",N2
透き通る,すきとおる,to be(come) transparent,N2
透明,とうめい,"transparency,cleanness",N2
這う,はう,"to creep,to crawl",N2
通り掛かる,とおりかかる,to happen to pass by,N2
通勤,つうきん,commuting to work,N2
通帳,つうちょう,passbook,N2
通用,つうよう,"popular use,circulation",N2
通知,つうち,"notice,notification",N2
通訳,つうやく,interpretation,N2
通貨,つうか,currency,N2
通路,つうろ,"passage,pathway",N2
速力,そくりょく,speed,N2
速達,そくたつ,"express,special delivery",N2
造船,ぞうせん,shipbuilding,N2
連合,れんごう,"union,alliance",N2
逸れる,それる,"to stray (turn) from subject,to get lost,to go astray",N2
遊園地,ゆうえんち,amusement park,N2
運河,うんが,"canal,waterway",N2
過剰,かじょう,"excess,over-",N2
過半数,かはんすう,majority,N2
過失,かしつ,"error,blunder,accident",N2
過程,かてい,process,N2
道順,みちじゅん,"itinerary,route",N2
遠足,えんそく,"trip,hike,picnic",N2
遡る,さかのぼる,"to go back,to go upstream,to make retroactive",N2
適確,てきかく,"precise,accurate",N2
遭う,あう,"to meet,to encounter (undesirable nuance)",N2
郡,ぐん,"country,district",N2
部品,ぶひん,"parts,accessories",N2
部首,ぶしゅ,radical (of a kanji character),N2
郵送,ゆうそう,mailing,N2
都心,としん,heart (of city),N2
酌む,くむ,to serve sake,N2
配る,くばる,"to distribute,to deliver",N2
酒場,さかば,"bar,bar-room",N2
酔っ払い,よっぱらい,drunkard,N2
酢,す,vinegar,N2
酸性,さんせい,acidity,N2
醜い,みにくい,ugly,N2
醤油,しょうゆ,soy sauce,N2
重たい,おもたい,"heavy,massive,serious",N2
重なる,かさなる,"to be piled up,lie on top of one another,overlap each other",N2
重ねる,かさねる,"to pile up,to put something on another,to heap up,to add,to repeat",N2
重体,じゅうたい,"seriously ill,serious condition,critical state",N2
重力,じゅうりょく,gravity,N2
重役,じゅうやく,"director,high executive",N2
重点,じゅうてん,"important point,lay stress on,colon,emphasis",N2
重量,じゅうりょう,"(N1) weight,(N2) heavyweight boxer",N2
量る,はかる,"to measure,to weigh,to survey",N2
金魚,きんぎょ,goldfish,N2
釘,くぎ,nail,N2
釜,かま,"iron pot,kettle",N2
針路,しんろ,"course,direction,compass bearing",N2
針金,はりがね,wire,N2
釣り合う,つりあう,"to balance,to be in harmony,to suit",N2
鈍い,のろい,"dull (e.g. a knife),thickheaded,slow (opposite of fast),stupid",N2
鈴,すず,bell,N2
鉄橋,てっきょう,"railway bridge,iron bridge",N2
鉄砲,てっぽう,gun,N2
鉢,はち,"a bowl,a pot",N2
鉱物,こうぶつ,mineral,N2
銅,どう,copper,N2
銘々,めいめい,"each,individual",N2
錆,さび,rust (colour),N2
錆びる,さびる,"to rust,to become rusty",N2
録音,ろくおん,(audio) recording,N2
鐘,かね,"bell,chime",N2
鑑賞,かんしょう,appreciation,N2
長女,ちょうじょ,eldest daughter,N2
長引く,ながびく,"to be prolonged,to drag on",N2
長所,ちょうしょ,"(N1) strong point,merit,(N2) advantage",N2
長方形,ちょうほうけい,"rectangle,oblong",N2
長男,ちょうなん,eldest son,N2
長短,ちょうたん,"length,long and short,+-",N2
閉会,へいかい,closure,N2
開会,かいかい,opening of a meeting,N2
開放,かいほう,"open,throw open,liberalization",N2
開通,かいつう,"opening,open",N2
間も無く,まもなく,"soon,before long,in a short time",N2
間接,かんせつ,"indirection,indirectness",N2
間隔,かんかく,"space,interval,SPC",N2
関東,かんとう,"eastern half of Japan, including Tokyo",N2
防止,ぼうし,"prevention,check",N2
防犯,ぼうはん,prevention of crime,N2
附属,ふぞく,"attached,belonging,affiliated",N2
限度,げんど,"limit,bounds",N2
険しい,けわしい,"inaccessible place,sharp eyes",N2
陽射,ひざし,"sunlight,rays of the sun",N2
随筆,ずいひつ,"essays,miscellaneous writings",N2
隔てる,へだてる,to be shut out,N2
隙間,すきま,"crevice,crack,gap,opening",N2
障子,しょうじ,paper sliding door,N2
集会,しゅうかい,"meeting,assembly",N2
集合,しゅうごう,"gathering,assembly,meeting,set (math)",N2
集金,しゅうきん,money collection,N2
雑巾,ぞうきん,"house-cloth,dust cloth",N2
雑音,ざつおん,"noise (jarring, grating)",N2
雨戸,あまど,sliding storm door,N2
零点,れいてん,"zero,no marks",N2
電力,でんりょく,electric power,N2
電柱,でんちゅう,"telephone pole,telegraph pole,lightpole",N2
電池,でんち,battery,N2
電波,でんぱ,electro-magnetic wave,N2
電流,でんりゅう,electric current,N2
電球,でんきゅう,light bulb,N2
青少年,せいしょうねん,"youth,young person",N2
青白い,あおじろい,"pale,pallid",N2
静まる,しずまる,"to quieten down,to calm down,to subside",N2
面倒臭い,めんどうくさい,"bother to do,tiresome",N2
面接,めんせつ,interview,N2
面積,めんせき,area,N2
響き,ひびき,"echo,sound,reverberation,noise",N2
響く,ひびく,to resound,N2
頂点,ちょうてん,"top,summit",N2
項目,こうもく,item,N2
順々,じゅんじゅん,"in order,in turn",N2
順序,じゅんじょ,"order,sequence,procedure",N2
預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of",N2
領事,りょうじ,consul,N2
領収,りょうしゅう,"receipt,voucher",N2
頭脳,ずのう,"head,brains,intellect",N2
頼もしい,たのもしい,"reliable,trustworthy,hopeful,promising",N2
題名,だいめい,title,N2
顕微鏡,けんびきょう,microscope,N2
風呂敷,ふろしき,"wrapping cloth,cloth wrapper",N2
風船,ふうせん,balloon,N2
飛び込む,とびこむ,"to jump in,to leap in,to plunge into,to dive",N2
食器,しょっき,tableware,N2
食塩,しょくえん,table salt,N2
飢える,うえる,to starve,N2
飢饉,ききん,famine,N2
飽くまで,あくまで,"to the end,to the last,stubbornly",N2
飾り,かざり,decoration,N2
餅,もち,sticky rice cake,N2
養分,ようぶん,"nourishment,nutrient",N2
香水,こうすい,perfume,N2
馴れる,なれる,"to become domesticated,to become tame",N2
騒々しい,そうぞうしい,"noisy,boisterous",N2
騒がしい,さわがしい,noisy,N2
驚かす,おどろかす,"to surprise,to frighten,to create a stir",N2
高める,たかめる,"to raise,to lift,to boost",N2
高層,こうそう,upper,N2
高度,こうど,"altitude,height,advanced",N2
高等,こうとう,"high class,high grade",N2
高級,こうきゅう,"high class,high grade",N2
髭,ひげ,"moustache,beard,whiskers",N2
鳴らす,ならす,"to ring,to sound,to chime,to beat,to snort (nose)",N2
麓,ふもと,"the foot,the bottom,the base (of a mountain)",N2
あざ笑う,あざわらう,"to sneer at, to ridicule",N1
いい加減,いいかげん,"moderate, right, random, not thorough, vague, irresponsible, halfhearted",N1
お世辞,おせじ,"flattery, compliment",N1
お休み,おやすみ,"holiday, absence, rest, Good night",N1
お使い,おつかい,errand,N1
お供,おとも,"attendant, companion",N1
お先に,おさきに,"before, ahead, previously",N1
お八,おやつ,"N1. (uk) between meal snack, afternoon refreshment, afternoon tea, N2. mid-day snack",N1
お出でになる,おいでになる,to be,N1
お喋り,おしゃべり,"chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth",N1
お大事に,おだいじに,Take care of yourself,N1
お宮,おみや,Shinto shrine,N1
お巡りさん,おまわりさん,policeman (friendly term),N1
お手上げ,おてあげ,"all over, given in, given up hope, bring to knees",N1
お早う,おはよう,Good morning,N1
お洒落,おしゃれ,"smartly dressed, someone smartly dressed, fashion-conscious",N1
お産,おさん,(giving) birth,N1
お目出度う,おめでとう,"(ateji) (int) (uk) Congratulations!, an auspicious occasion!",N1
お祖母さん,おばあさん,"grandmother, female senior-citizen",N1
お祖父さん,おじいさん,"grandfather, male senior-citizen",N1
お菜,おかず,"side dish, accompaniment for rice dishes",N1
お蔭,おかげ,"(your) backing, assistance",N1
お蔭様で,おかげさまで,"Thanks to god, thanks to you",N1
お襁褓,おむつ,"diaper, nappy",N1
お邪魔します,おじゃまします,Excuse me for disturbing (interrupting) you,N1
お願いします,おねがいします,please,N1
かも知れない,かもしれない,"may, might, perhaps, may be, possibly",N1
くっ付く,くっつく,"to adhere to, to keep close to",N1
くっ付ける,くっつける,to attach,N1
ヶ月,かげつ,month,N1
この間,このあいだ,"the other day, lately, recently",N1
この頃,このごろ,recently,N1
ご座います,ございます,"to be (polite), to exist",N1
ご無沙汰,ごぶさた,not writing or contacting for a while,N1
ご苦労様,ごくろうさま,Thank you very much for your....,N1
ご馳走,ごちそう,"feast, treating (someone)",N1
ご馳走さま,ごちそうさま,feast,N1
じゃん拳,じゃんけん,rock-scissors-paper game,N1
ずぶ濡れ,ずぶぬれ,"soaked, dripping wet",N1
すれ違う,すれちがう,"to pass by one another, to disagree, to miss each other",N1
その上,そのうえ,"in addition, furthermore",N1
その内,そのうち,"eventually, sooner or later, of the previously mentioned",N1
その外,そのほか,"besides, in addition, the rest",N1
その為,そのため,"hence, for that reason",N1
どうぞ宜しく,どうぞよろしく,pleased to meet you,N1
にも拘らず,にもかかわらず,"in spite of, nevertheless",N1
ねじ回し,ねじまわし,screwdriver,N1
ぶら下げる,ぶらさげる,"to hang, to suspend, to dangle, to swing",N1
やっ付ける,やっつける,to beat,N1
やり遂げる,やりとげる,to accomplish,N1
ローマ字,ローマじ,"romanization, Roman letters",N1
一々,いちいち,"one by one, separately",N1
一まず,ひとまず,"for the present, once, in outline",N1
一人でに,ひとりでに,"by itself, automatically, naturally",N1
一切,いっさい,"all, everything, without exception, the whole, entirely, absolutely",N1
一別,いちべつ,parting,N1
一同,いちどう,"all present, all concerned, all of us",N1
一向,ひたすら,earnestly,N1
一変,いっぺん,"complete change, about-face",N1
一寸,ちょっと,"(ateji) (adv int) (uk) just a minute, a short time, a while, just a little, somewhat, easily, readily, rath",N1
一帯,いったい,"a region, a zone, the whole place",N1
一律,いちりつ,"evenness, uniformity, monotony, equality",N1
一心,いっしん,"one mind, wholeheartedness, the whole heart",N1
一息,ひといき,"puffy, a breath, a pause, an effort",N1
一括,いっかつ,"all together, batch, one lump, one bundle, summing up",N1
一挙に,いっきょに,"at a stroke, with a single swoop",N1
一敗,いっぱい,one defeat,N1
一昨昨日,さきおととい,two days before yesterday,N1
一概に,いちがいに,"unconditionally, as a rule",N1
一様,いちよう,"uniformity, evenness, similarity, equality, impartiality",N1
一気,いっき,drink!(said repeatedly as a party cheer),N1
一目,いちもく,"a glance, a look, a glimpse",N1
一筋,ひとすき,"a line, earnestly, blindly, straightforwardly",N1
一見,いちげん,"unfamiliar, never before met",N1
一連,いちれん,"a series, a chain, a ream (of paper)",N1
一部,いちぶ,"N1. one copy e.g. of a document, N2. a part, partly, some",N1
一部分,いちぶぶん,a part,N1
一面,いちめん,"one side, one phase, front page, the other hand, the whole surface",N1
一頃,ひところ,"once, some time ago",N1
丁々,とうとう,"clashing of swords, felling of trees, ringing of an ax",N1
丁目,ちょうめ,"district of a town, city block (of irregular size)",N1
万人,ばんじん,"all people, everybody, N10000 people",N1
万能,ばんのう,"all-purpose, almighty, omnipotent",N1
丈,たけ,"height, stature, length, measure, all (one has)",N1
三味線,さみせん,"three-stringed Japanese guitar, shamisen",N1
上がり,あがり,"N1. slope, advance income, crop yield, ascent, rise, advance, death, spinning, completion, stop, finish, after",N1
上がる,あがる,"to enter, to go up, to rise, to climb up, to advance, to appreciate, to be promoted, to improve, to call on,",N1
上位,じょうい,"superior (rank not class), higher order (e.g. byte), host computer (of connected device)",N1
上司,じょうし,"superior authorities, boss",N1
上回る,うわまわる,to exceed,N1
上昇,じょうしょう,"rising, ascending, climbing",N1
上演,じょうえん,performance (e.g. music),N1
上空,じょうくう,"sky, the skies, high-altitude sky, upper air",N1
上陸,じょうりく,"landing, disembarkation",N1
下がる,さがる,"to hang down, to abate, to retire, to fall, to step back",N1
下らない,くだらない,"good-for-nothing, stupid, trivial, worthless",N1
下位,かい,"low rank, subordinate, lower order (e.g. byte)",N1
下取り,したどり,"trade in, part exchange",N1
下吏,かり,lower official,N1
下地,したじ,"groundwork, foundation, inclination, aptitude, elementary knowledge of, grounding in, prearrangement, spade",N1
下心,したごころ,"secret intention, motive",N1
下火,したび,"burning low, waning, declining",N1
下番,かばん,going off duty,N1
下痢,げり,diarrhoea,N1
下調べ,したしらべ,"preliminary investigation, preparation",N1
不便,ふびん,"pity, compassion",N1
不動産,ふどうさん,real estate,N1
不可欠,ふかけつ,"indispensable, essential",N1
不吉,ふきつ,"ominous, sinister, bad luck, ill omen, inauspiciousness",N1
不味い,まずい,"unappetising, unpleasant (taste appearance situation), ugly, unskilful, awkward, bungling, unwise, untime",N1
不図,ふと,"suddenly, casually, accidentally, incidentally, unexpectedly, unintentionally",N1
不在,ふざい,absence,N1
不審,ふしん,"incomplete understanding, doubt, question, distrust, suspicion, strangeness, infidelity",N1
不山戯る,ふざける,"to romp, to gambol, to frolic, to joke, to make fun of, to flirt",N1
不当,ふとう,"injustice, impropriety, unreasonableness, undeservedness, unfair, invalid",N1
不意,ふい,"sudden, abrupt, unexpected, unforeseen",N1
不振,ふしん,"dullness, depression, slump, stagnation",N1
不明,ふめい,"unknown, obscure, indistinct, uncertain, ambiguous, ignorant, lack of wisdom, anonymous, unidentified",N1
不景気,ふけいき,"business recession, hard times, depression, gloom, sullenness, cheerlessness",N1
不服,ふふく,"dissatisfaction, discontent, disapproval, objection, complaint, protest, disagreement",N1
不況,ふきょう,"recession, depression, slump",N1
不良,ふりょう,"badness, delinquent, inferiority, failure",N1
不評,ふひょう,"bad reputation, disgrace, unpopularity",N1
不調,ふちょう,"bad condition, not to work out (ie a deal), disagreement, break-off, disorder, slump, out of form",N1
不順,ふじゅん,"irregularity, unseasonableness",N1
与党,よとう,"government party, (ruling) party in power, government",N1
且つ,かつ,"yet, and",N1
世,よ,"world, society, age, generation",N1
世代,せだい,"generation, the world, the age",N1
世帯,せたい,household,N1
世論,せろん,public opinion,N1
世辞,せじ,"flattery, compliment",N1
丘陵,きゅうりょう,hill,N1
両極,りょうきょく,"both extremities, north and south poles, positive and negative poles",N1
両立,りょうりつ,"compatibility, coexistence, standing together",N1
並びに,ならびに,and,N1
並み,なみ,"average, medium, common, ordinary",N1
並列,へいれつ,"arrangement, parallel, abreast",N1
中傷,ちゅうしょう,"slander, libel, defamation",N1
中和,ちゅうわ,"neutralize, counteract",N1
中断,ちゅうだん,"interruption, suspension, break",N1
中枢,ちゅうすう,"centre, pivot, mainstay, nucleus, backbone, central figure, pillar, key man",N1
中毒,ちゅうどく,poisoning,N1
中程,なかほど,"middle, midway",N1
中立,ちゅうりつ,neutrality,N1
中継,ちゅうけい,"relay, hook-up",N1
中腹,ちゅうっぱら,"irritated, offended",N1
丸々,まるまる,completely,N1
丸ごと,まるごと,"in its entirety, whole, wholly",N1
丸っきり,まるっきり,"completely, perfectly, just as if",N1
丸で,まるで,"quite, entirely, completely, at all, as if, as though, so to speak",N1
丸める,まるめる,"to make round, to round off, to roll up, to curl up, to seduce, to cajole, to explain away",N1
主人公,しゅじんこう,"protagonist, main character, hero(ine) (of a story), head of household",N1
主任,しゅにん,"person in charge, responsible official",N1
主体,しゅたい,"subject, main constituent",N1
主催,しゅさい,"organization, sponsorship",N1
主導,しゅどう,main leadership,N1
主権,しゅけん,"sovereignty, supremacy, dominion",N1
主演,しゅえん,"starring, playing the leading part",N1
主観,しゅかん,"subjectivity, subject, ego",N1
主題,しゅだい,"subject, theme, motif",N1
主食,しゅしょく,staple food,N1
乃至,ないし,"from...to, between...and, or",N1
久しい,ひさしい,"long, long-continued, old (story)",N1
久し振り,ひさしぶり,after a long time,N1
乏しい,とぼしい,"meagre, scarce, limited, destitute, hard up, scanty, poor",N1
乗っ取る,のっとる,"to capture, to occupy, to usurp",N1
乗り換え,のりかえ,transfer (trains buses etc.),N1
乗り込む,のりこむ,"to board, to embark on, to get into (a car), to ship (passengers), to man (a ship), to help (someone) int",N1
乙,おつ,"N1. strange, quaint, stylish, chic, spicy, queer, witty, tasty, romantic, N2. N2nd in rank, second sign of the",N1
乱す,みだす,"to throw out of order, to disarrange, to disturb",N1
乱れる,みだれる,"to get confused, to be disordered, to be disturbed",N1
乳,ちち,"milk, breast, loop",N1
乾,かん,"heaven, emperor",N1
了,りょう,"finish, completion, understanding",N1
了承,りょうしょう,"acknowledgement, understanding (e.g. please be understanding of the mess during our renovation)",N1
了解,りょうかい,"comprehension, consent, understanding, roger (on the radio)",N1
予め,あらかじめ,"beforehand, in advance, previously",N1
予想,よそう,"expectation, anticipation, prediction, forecast",N1
予感,よかん,"presentiment, premonition",N1
予言,かねごと,"prediction, promise, prognostication",N1
争い,あらそい,"dispute, strife, quarrel, dissension, conflict, rivalry, contest",N1
事によると,ことによると,depending on the circumstances,N1
事前,じぜん,"prior, beforehand, in advance",N1
事柄,ことがら,"matter, thing, affair, circumstance",N1
事業,じぎょう,"project, enterprise, business, industry, operations",N1
事項,じこう,"matter, item, facts",N1
云々,うんぬん,"and so on, and so forth, comment",N1
五月蝿い,うるさい,"noisy, loud, fussy",N1
些とも,ちっとも,not at all (neg. verb),N1
些事,さじ,"something small or petty, trifle",N1
亜科,あか,"suborder, subfamily",N1
交える,まじえる,"to mix, to converse with, to cross (swords)",N1
交わす,かわす,"to exchange (messages), to dodge, to parry, to avoid, to turn aside",N1
交わる,まじわる,"to cross, to intersect, to associate with, to mingle with, to interest, to join",N1
交互,こうご,"mutual, reciprocal, alternate",N1
交付,こうふ,"delivering, furnishing (with copies)",N1
交易,こうえき,"trade, commerce",N1
交渉,こうしょう,"negotiations, discussions, connection",N1
享受,きょうじゅ,"reception, acceptance, enjoyment, being given",N1
人体,じんたい,human body,N1
人情,にんじょう,"humanity, empathy, kindness, sympathy, human nature, common sense, customs and manners",N1
人材,じんざい,man of talent,N1
人柄,ひとがら,"personality, character, personal appearance, gentility",N1
人格,じんかく,"personality, character, individuality",N1
人民,じんみん,"people, public",N1
人目,じんもく,"glimpse, public gaze",N1
人質,ひとじち,"hostage, prisoner",N1
今日は,こんにちは,"hello, good day (daytime greeting id)",N1
今晩は,こんばんは,good evening,N1
今更,いまさら,"now, at this late hour",N1
介入,かいにゅう,intervention,N1
介抱,かいほう,"nursing, looking after",N1
介護,かいご,nursing,N1
仏像,ぶつぞう,Buddhist image (statue),N1
仕える,つかえる,"to serve, to work for",N1
仕上がり,しあがり,"finish, end, completion",N1
仕上げ,しあげ,"end, finishing touches, being finished",N1
仕上げる,しあげる,"to finish up, to complete",N1
仕付ける,しつける,"to be used to a job, to begin to do, to baste, to tack, to plant",N1
仕入れる,しいれる,"to lay in stock, to replenish stock, to procure",N1
仕切る,しきる,"to partition, to divide, to mark off, to settle accounts, to toe the mark",N1
仕掛け,しかけ,"device, trick, mechanism, gadget, (small) scale, half finished, commencement, set up, challenge",N1
仕掛ける,しかける,"to commence, to lay (mines), to set (traps), to wage (war), to challenge",N1
仕様,しよう,"way, method, resource, remedy, (technical) specification",N1
仕立てる,したてる,"to tailor, to make, to prepare, to train, to send (a messenger)",N1
仕組み,しくみ,"devising, plan, plot, contrivance, construction, arrangement",N1
仕舞,しまい,"end, termination, informal (Noh play)",N1
仕舞う,しまう,"to finish, to close, to do something completely, to put away, to put an end to",N1
他動詞,たどうし,transitive verb (direct obj),N1
他意,たい,"ill will, malice, another intention, secret purpose, ulterior motive, fickleness, double-mindedness",N1
他方,たほう,"another side, different direction, (on) the other hand",N1
付き,つき,"attached to, impression, sociality, appearance, furnished with, under, to",N1
付き合う,つきあう,"to associate with, to keep company with, to get on with",N1
付け加える,つけくわえる,to add one thing to another,N1
付属,ふぞく,"attached, belonging, affiliated, annexed, associated, subordinate, incidental, dependent, auxiliary",N1
付録,ふろく,"appendix, supplement",N1
仙,せん,"hermit, wizard",N1
代,しろ,"price, materials, substitution",N1
代わる,かわる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take",N1
代わる代わる,かわるがわる,alternately,N1
代弁,だいべん,"pay by proxy, act for another, speak for another",N1
代用,だいよう,substitution,N1
以て,もって,"with, by, by means of, because, in view of",N1
仮,か,"tentative, provisional",N1
仮令,たとえ,"example, even if, if, though, although",N1
仰ぐ,あおぐ,"to look up (to), to respect, to depend on, to ask for, to seek, to revere, to drink, to take",N1
仰っしゃる,おっしゃる,"to say, to speak, to tell, to talk",N1
仲人,ちゅうにん,"go-between, matchmaker",N1
件,くだん,"example, precedent, the usual, the said, the above-mentioned, (man) in question",N1
任す,まかす,"to entrust, to leave to a person",N1
任務,にんむ,"duty, function, office, mission, task",N1
任命,にんめい,"appointment, nomination, ordination, commission, designation",N1
企画,きかく,"planning, project",N1
伊井,いい,"that one, Italy",N1
伐,ばつ,"strike, attack, punish",N1
休める,やすめる,"to rest, to suspend, to give relief",N1
休学,きゅうがく,"temporary absence from school, suspension",N1
休戦,きゅうせん,"truce, armistice",N1
会見,かいけん,"interview, audience",N1
会談,かいだん,"conversation, conference, discussion, interview",N1
伜,せがれ,"son, my son",N1
伝来,でんらい,"ancestral, hereditary, imported, transmitted, handed down",N1
伝言,つてごと,"verbal message, rumor, word",N1
伝説,でんせつ,"tradition, legend, folklore",N1
伝達,でんたつ,"transmission (e.g. news), communication, delivery",N1
伴う,ともなう,"to accompany, to bring with, to be accompanied by, to be involved in",N1
似通う,にかよう,to resemble closely,N1
位地,いち,"place, situation, position, location",N1
住,じゅう,"dwelling, living",N1
佐,さ,help,N1
体付き,からだつき,"body build, figure",N1
体力,たいりょく,physical strength,N1
体格,たいかく,"physique, constitution",N1
体裁,ていさい,"decency, style, form, appearance, show, get-up, format",N1
体験,たいけん,personal experience,N1
何しろ,なにしろ,"at any rate, anyhow, anyway, in any case",N1
何だか,なんだか,"a little, somewhat, somehow",N1
何て,なんて,"how...!, what...!",N1
何と,なんと,"what, how, whatever",N1
何となく,なんとなく,"somehow or other, for some reason or another",N1
何とも,なんとも,"nothing (with neg. verb), quite, not a bit",N1
何なり,なんなり,"any, anything, whatever",N1
何の,どの,"which, what",N1
何も,なにも,nothing,N1
何より,なにより,"most, best",N1
何れ,いずれ,"where, which, who, anyway, anyhow, at any rate",N1
何処,どこ,"where, what place",N1
何処か,どこか,"somewhere, anywhere, in some respects",N1
何卒,なにとぞ,please,N1
何故,なぜ,"why, how",N1
何故なら,なぜなら,because,N1
何方,どちら,"which, who",N1
何時,いつ,"when, how soon",N1
何時か,いつか,"sometime, someday, one day, some time or other, the other day, in due course, in time",N1
何時でも,いつでも,"(at) any time, always, at all times, never (neg), whenever",N1
何時の間にか,いつのまにか,"before one knows, unnoticed, unawares",N1
何時までも,いつまでも,"forever, for good, eternally, as long as one likes, indefinitely",N1
何時も,いつも,"always, usually, every time, never (with neg. verb)",N1
何気ない,なにげない,"casual, unconcerned",N1
余地,よち,"place, room, margin, scope",N1
余所見,よそみ,"looking away, looking aside",N1
余暇,よか,"leisure, leisure time, spare time",N1
余程,よっぽど,"very, greatly, much, to a large extent, quite",N1
余興,よきょう,"side show, entertainment",N1
作,さく,"a work, a harvest",N1
作り,つくり,"make-up, sliced raw fish",N1
作戦,さくせん,"military or naval operations, tactics, strategy",N1
